"scenario","region","year","age","sex","cardio_deaths","allcause_deaths","pop","n_countries","cardio_mortality_rate","cardio_mortality_rate_100k","allcause_mortality_rate","allcause_mortality_rate_100k","cardio_share"
"SSP5","East Asia & Pacific",2080,"15-19","Male",26.1416206107596,895.412176895132,27221000,20,9.60347548244354e-07,0.0960347548244355,3.28941690935356e-05,3.28941690935356,0.0291950693605781
"SSP5","East Asia & Pacific",2080,"20-24","Female",45.3490122544435,1158.3573165572,28127900,20,1.61224308442662e-06,0.161224308442662,4.11817916217421e-05,4.11817916217421,0.0391494158203507
"SSP5","East Asia & Pacific",2080,"20-24","Male",126.619450655077,4091.84074546808,29845900,20,4.24244035713708e-06,0.424244035713708,0.000137098922983327,13.7098922983327,0.0309443740681538
"SSP5","East Asia & Pacific",2080,"25-29","Female",108.776638083914,1082.36900128088,31643000,20,3.43762089826862e-06,0.343762089826862,3.42056379382763e-05,3.42056379382763,0.100498663538209
"SSP5","East Asia & Pacific",2080,"25-29","Male",217.926209355482,2554.46171300476,33572000,20,6.49130851172054e-06,0.649130851172054,7.60890537651841e-05,7.60890537651841,0.0853119889196303
"SSP5","East Asia & Pacific",2080,"30-34","Female",258.221437433428,2240.35948505407,35542000,20,7.26524780354027e-06,0.726524780354027,6.30341422838914e-05,6.30341422838914,0.115258930165485
"SSP5","East Asia & Pacific",2080,"30-34","Male",739.952119305931,6435.17867512237,37668400,20,1.96438425658093e-05,1.96438425658093,0.000170837589999107,17.0837589999107,0.11498548162563
"SSP5","East Asia & Pacific",2080,"35-39","Female",424.654247378133,2479.37402280248,38613100,20,1.09976730016014e-05,1.09976730016014,6.42106959245044e-05,6.42106959245044,0.171274782857545
"SSP5","East Asia & Pacific",2080,"35-39","Male",984.661017939864,5491.24999891937,40907600,20,2.40703687808589e-05,2.40703687808589,0.000134235447665455,13.4235447665455,0.179314549170705
"SSP5","East Asia & Pacific",2080,"40-44","Female",841.316689588517,5258.68048739664,40081900,20,2.09899403368732e-05,2.09899403368732,0.000131198383494711,13.1198383494711,0.159986272526897
"SSP5","East Asia & Pacific",2080,"40-44","Male",2318.86597707862,13612.729146453,42480300,20,5.4586855014645e-05,5.4586855014645,0.000320448046422764,32.0448046422764,0.170345413629481
"SSP5","East Asia & Pacific",2080,"45-49","Female",1324.99120086069,7366.33667280926,41907200,20,3.16172686521813e-05,3.16172686521813,0.000175777352646067,17.5777352646067,0.179871116365278
"SSP5","East Asia & Pacific",2080,"45-49","Male",3369.00559319353,17833.0529761641,44489700,20,7.57255183378071e-05,7.57255183378071,0.000400835541173893,40.0835541173893,0.188919171478747
"SSP5","East Asia & Pacific",2080,"50-54","Female",2016.39599887714,14708.6562752344,44690800,20,4.51188163755658e-05,4.51188163755658,0.000329120451529944,32.9120451529944,0.137089069262719
"SSP5","East Asia & Pacific",2080,"50-54","Male",6436.46495668215,41298.3319282883,47670200,20,0.000135020724827715,13.5020724827715,0.000866334354130846,86.6334354130846,0.155852903886254
